position_id,fen,expected_move,engine_move,test_file
WAC.207,r1bq2kr/p1pp1ppp/1pn1p3/4P3/2Pb2Q1/BR6/P4PPP/3K1BNR w - - 0 1,Qxg7+,g1f3,./tests/positions/wacnew.epd
WAC.208,3r1bk1/ppq3pp/2p5/2P2Q1B/8/1P4P1/P6P/5RK1 w - - 0 1,Bf7+,f5e6,./tests/positions/wacnew.epd
WAC.209,4kb1r/2q2p2/r2p4/pppBn1B1/P6P/6Q1/1PP5/2KRR3 w k - 0 1,Rxe5+,a4b5,./tests/positions/wacnew.epd
WAC.212,rn1qr2Q/pbppk1p1/1p2pb2/4N3/3P4/2N5/PPP3PP/R4RK1 w - - 0 1,Qxg7+,h8h5,./tests/positions/wacnew.epd
WAC.213,3r1r1k/1b4pp/ppn1p3/4Pp1R/Pn5P/3P4/4QP2/1qB1NKR1 w - - 0 1,Rxh7+,e2b2,./tests/positions/wacnew.epd
WAC.217,r3kb1r/1pp3p1/p3bp1p/5q2/3QN3/1P6/PBP3P1/3RR1K1 w kq - 0 1,Qd7+,e4g3,./tests/positions/wacnew.epd
WAC.220,3rr1k1/ppp2ppp/8/5Q2/4n3/1B5R/PPP1qPP1/5RK1 b - - 0 1,Qxf1+,e4f6,./tests/positions/wacnew.epd
WAC.222,2r1r2k/1q3ppp/p2Rp3/2p1P3/6QB/p3P3/bP3PPP/3R2K1 w - - 0 1,Bf6,b2a3,./tests/positions/wacnew.epd
WAC.223,r1bqk2r/pp3ppp/5n2/8/1b1npB2/2N5/PP1Q2PP/1K2RBNR w kq - 0 1,Nxe4,f4e5,./tests/positions/wacnew.epd
WAC.225,4R3/4q1kp/6p1/1Q3b2/1P1b1P2/6KP/8/8 b - - 0 1,Qh4+,e7c7,./tests/positions/wacnew.epd
WAC.226,2b2rk1/p1p4p/2p1p1p1/br2N1Q1/1p2q3/8/PB3PPP/3R1RK1 w - - 0 1,Nf7,g5e7,./tests/positions/wacnew.epd
WAC.230,2b5/1r6/2kBp1p1/p2pP1P1/2pP4/1pP3K1/1R3P2/8 b - - 0 1,Rb4,c6b5,./tests/positions/wacnew.epd
WAC.237,r5k1/pQp2qpp/8/4pbN1/3P4/6P1/PPr4P/1K1R3R b - - 0 1,Rc1+,c2c5,./tests/positions/wacnew.epd
WAC.238,1k1r4/pp1r1pp1/4n1p1/2R5/2Pp1qP1/3P2QP/P4PB1/1R4K1 w - - 0 1,Bxb7,c5b5,./tests/positions/wacnew.epd
WAC.241,2rq1rk1/pp3ppp/2n2b2/4NR2/3P4/PB5Q/1P4PP/3R2K1 w - - 0 1,Qxh7+,f5f6,./tests/positions/wacnew.epd
WAC.244,r6r/pp3ppp/3k1b2/2pb4/B4Pq1/2P1Q3/P5PP/1RBR2K1 w - - 0 1,Qxc5+,d1d5,./tests/positions/wacnew.epd
WAC.245,4rrn1/ppq3bk/3pPnpp/2p5/2PB4/2NQ1RPB/PP5P/5R1K w - - 0 1,Qxg6+,c3d5,./tests/positions/wacnew.epd
WAC.247,2k1r3/1p2Bq2/p2Qp3/Pb1p1p1P/2pP1P2/2P5/2P2KP1/1R6 w - - 0 1,Rxb5,d6c5,./tests/positions/wacnew.epd
WAC.250,1b5k/7P/p1p2np1/2P2p2/PP3P2/4RQ1R/q2r3P/6K1 w - - 0 1,Re8+,e3e1,./tests/positions/wacnew.epd
WAC.252,1rb1r1k1/p1p2ppp/5n2/2pP4/5P2/2QB4/qNP3PP/2KRB2R b - - 0 1,Bg4 Re2,f6d5,./tests/positions/wacnew.epd
WAC.256,3r1rk1/1pb1qp1p/2p3p1/p7/P2Np2R/1P5P/1BP2PP1/3Q1BK1 w - - 0 1,Nf5,g2g3,./tests/positions/wacnew.epd
WAC.261,r5k1/1bp3pp/p2p4/1p6/5p2/1PBP1nqP/1PP3Q1/R4R1K b - - 0 1,Nd4,g3g2,./tests/positions/wacnew.epd
WAC.263,rnbqr2k/pppp1Qpp/8/b2NN3/2B1n3/8/PPPP1PPP/R1B1K2R w KQ - 0 1,Qg8+,f7h5,./tests/positions/wacnew.epd
WAC.266,r3q2r/2p1k1p1/p5p1/1p2Nb2/1P2nB2/P7/2PNQbPP/R2R3K b - - 0 1,Rxh2+,f2g3,./tests/positions/wacnew.epd
WAC.269,2kr2nr/pp1n1ppp/2p1p3/q7/1b1P1B2/P1N2Q1P/1PP1BPP1/R3K2R w KQ - 0 1,axb4,f4d2,./tests/positions/wacnew.epd
WAC.270,2r1r1k1/pp1q1ppp/3p1b2/3P4/3Q4/5N2/PP2RPPP/4R1K1 w - - 0 1,Qg4,e2e8,./tests/positions/wacnew.epd
WAC.277,1r4r1/p2kb2p/bq2p3/3p1p2/5P2/2BB3Q/PP4PP/3RKR2 b - - 0 1,Rg3 Rxg2,h7h5,./tests/positions/wacnew.epd
WAC.281,2R5/2R4p/5p1k/6n1/8/1P2QPPq/r7/6K1 w - - 0 1,Rxh7+,c7c2,./tests/positions/wacnew.epd
WAC.282,6k1/2p3p1/1p1p1nN1/1B1P4/4PK2/8/2r3b1/7R w - - 0 1,Rh8+,h1e1,./tests/positions/wacnew.epd
WAC.288,r1b2rk1/p4ppp/1p1Qp3/4P2N/1P6/8/P3qPPP/3R1RK1 w - - 0 1,Nf6+,f2f3,./tests/positions/wacnew.epd
WAC.290,2k2r2/2p5/1pq5/p1p1n3/P1P2n1B/1R4Pp/2QR4/6K1 b - - 0 1,Ne2+,f4e6,./tests/positions/wacnew.epd
WAC.291,5r1k/3b2p1/p6p/1pRpR3/1P1P2q1/P4pP1/5QnP/1B4K1 w - - 0 1,h3,c5c3,./tests/positions/wacnew.epd
WAC.293,1nbq1r1k/3rbp1p/p1p1pp1Q/1p6/P1pPN3/5NP1/1P2PPBP/R4RK1 w - - 0 1,Nfg5,h6e3,./tests/positions/wacnew.epd
WAC.297,3r1rk1/p3qp1p/2bb2p1/2p5/3P4/1P6/PBQN1PPP/2R2RK1 b - - 0 1,Bxg2 Bxh2+,e7g5,./tests/positions/wacnew.epd
