position_id,fen,expected_move,engine_move,test_file
WAC.185,1r1rb1k1/2p3pp/p2q1p2/3PpP1Q/Pp1bP2N/1B5R/1P4PP/2B4K w - - 0 1,Qxh7+,h4g6,/workspace/tests/positions/wacnew.epd
WAC.190,8/p2b2kp/1q1p2p1/1P1Pp3/4P3/3B2P1/P2Q3P/2Nn3K b - - 0 1,Bh3,d7g4,/workspace/tests/positions/wacnew.epd
WAC.207,r1bq2kr/p1pp1ppp/1pn1p3/4P3/2Pb2Q1/BR6/P4PPP/3K1BNR w - - 0 1,Qxg7+,g1f3,/workspace/tests/positions/wacnew.epd
WAC.213,3r1r1k/1b4pp/ppn1p3/4Pp1R/Pn5P/3P4/4QP2/1qB1NKR1 w - - 0 1,Rxh7+,e2b2,/workspace/tests/positions/wacnew.epd
WAC.217,r3kb1r/1pp3p1/p3bp1p/5q2/3QN3/1P6/PBP3P1/3RR1K1 w kq - 0 1,Qd7+,e4g3,/workspace/tests/positions/wacnew.epd
WAC.220,3rr1k1/ppp2ppp/8/5Q2/4n3/1B5R/PPP1qPP1/5RK1 b - - 0 1,Qxf1+,e4f6,/workspace/tests/positions/wacnew.epd
WAC.222,2r1r2k/1q3ppp/p2Rp3/2p1P3/6QB/p3P3/bP3PPP/3R2K1 w - - 0 1,Bf6,b2a3,/workspace/tests/positions/wacnew.epd
WAC.223,r1bqk2r/pp3ppp/5n2/8/1b1npB2/2N5/PP1Q2PP/1K2RBNR w kq - 0 1,Nxe4,f4e5,/workspace/tests/positions/wacnew.epd
WAC.225,4R3/4q1kp/6p1/1Q3b2/1P1b1P2/6KP/8/8 b - - 0 1,Qh4+,e7c7,/workspace/tests/positions/wacnew.epd
WAC.228,r4rk1/1bq1bp1p/4p1p1/p2p4/3BnP2/1N1B3R/PPP3PP/R2Q2K1 w - - 0 1,Bxe4,d1f3,/workspace/tests/positions/wacnew.epd
WAC.230,2b5/1r6/2kBp1p1/p2pP1P1/2pP4/1pP3K1/1R3P2/8 b - - 0 1,Rb4,b7h7,/workspace/tests/positions/wacnew.epd
WAC.237,r5k1/pQp2qpp/8/4pbN1/3P4/6P1/PPr4P/1K1R3R b - - 0 1,Rc1+,c2c5,/workspace/tests/positions/wacnew.epd
WAC.238,1k1r4/pp1r1pp1/4n1p1/2R5/2Pp1qP1/3P2QP/P4PB1/1R4K1 w - - 0 1,Bxb7,c5b5,/workspace/tests/positions/wacnew.epd
WAC.241,2rq1rk1/pp3ppp/2n2b2/4NR2/3P4/PB5Q/1P4PP/3R2K1 w - - 0 1,Qxh7+,f5f6,/workspace/tests/positions/wacnew.epd
WAC.244,r6r/pp3ppp/3k1b2/2pb4/B4Pq1/2P1Q3/P5PP/1RBR2K1 w - - 0 1,Qxc5+,d1d5,/workspace/tests/positions/wacnew.epd
WAC.245,4rrn1/ppq3bk/3pPnpp/2p5/2PB4/2NQ1RPB/PP5P/5R1K w - - 0 1,Qxg6+,c3d5,/workspace/tests/positions/wacnew.epd
WAC.250,1b5k/7P/p1p2np1/2P2p2/PP3P2/4RQ1R/q2r3P/6K1 w - - 0 1,Re8+,e3e1,/workspace/tests/positions/wacnew.epd
WAC.252,1rb1r1k1/p1p2ppp/5n2/2pP4/5P2/2QB4/qNP3PP/2KRB2R b - - 0 1,Bg4 Re2,f6d5,/workspace/tests/positions/wacnew.epd
WAC.258,r3brkn/1p5p/2p2Ppq/2Pp3B/3Pp2Q/4P1R1/6PP/5R1K w - - 0 1,Bxg6,h1g1,/workspace/tests/positions/wacnew.epd
WAC.261,r5k1/1bp3pp/p2p4/1p6/5p2/1PBP1nqP/1PP3Q1/R4R1K b - - 0 1,Nd4,g3g2,/workspace/tests/positions/wacnew.epd
WAC.263,rnbqr2k/pppp1Qpp/8/b2NN3/2B1n3/8/PPPP1PPP/R1B1K2R w KQ - 0 1,Qg8+,f7h5,/workspace/tests/positions/wacnew.epd
WAC.266,r3q2r/2p1k1p1/p5p1/1p2Nb2/1P2nB2/P7/2PNQbPP/R2R3K b - - 0 1,Rxh2+,f2g3,/workspace/tests/positions/wacnew.epd
WAC.281,2R5/2R4p/5p1k/6n1/8/1P2QPPq/r7/6K1 w - - 0 1,Rxh7+,c7c2,/workspace/tests/positions/wacnew.epd
WAC.290,2k2r2/2p5/1pq5/p1p1n3/P1P2n1B/1R4Pp/2QR4/6K1 b - - 0 1,Ne2+,f4e6,/workspace/tests/positions/wacnew.epd
WAC.293,1nbq1r1k/3rbp1p/p1p1pp1Q/1p6/P1pPN3/5NP1/1P2PPBP/R4RK1 w - - 0 1,Nfg5,e2e3,/workspace/tests/positions/wacnew.epd
WAC.297,3r1rk1/p3qp1p/2bb2p1/2p5/3P4/1P6/PBQN1PPP/2R2RK1 b - - 0 1,Bxg2 Bxh2+,e7g5,/workspace/tests/positions/wacnew.epd
