position_id,fen,expected_moves_san,expected_moves_uci,time_ms,bestmove,bestmove_san,matches_expected,seen_in_pv,info_depth,info_nodes,info_nps,score_type,score
WAC.131,2rq1bk1/p4p1p/1p4p1/3b4/3B1Q2/8/P4PpP/3RR1K1 w - - 0 1,Re8,e1e8,100,d4f6,Bf6,False,False,,,,,
WAC.131,2rq1bk1/p4p1p/1p4p1/3b4/3B1Q2/8/P4PpP/3RR1K1 w - - 0 1,Re8,e1e8,850,d4f6,Bf6,False,False,,,,,
WAC.131,2rq1bk1/p4p1p/1p4p1/3b4/3B1Q2/8/P4PpP/3RR1K1 w - - 0 1,Re8,e1e8,2000,d4f6,Bf6,False,False,,,,,
WAC.141,4r1k1/p1qr1p2/2pb1Bp1/1p5p/3P1n1R/1B3P2/PP3PK1/2Q4R w - - 0 1,Qxf4,c1f4,100,g2f1,Kf1,False,False,,,,,
WAC.141,4r1k1/p1qr1p2/2pb1Bp1/1p5p/3P1n1R/1B3P2/PP3PK1/2Q4R w - - 0 1,Qxf4,c1f4,850,g2f1,Kf1,False,False,,,,,
WAC.141,4r1k1/p1qr1p2/2pb1Bp1/1p5p/3P1n1R/1B3P2/PP3PK1/2Q4R w - - 0 1,Qxf4,c1f4,2000,g2f1,Kf1,False,False,,,,,
WAC.145,r1bq4/1p4kp/3p1n2/p4pB1/2pQ4/8/1P4PP/4RRK1 w - - 0 1,Re8,e1e8,100,f1f3,Rf3,False,False,,,,,
WAC.145,r1bq4/1p4kp/3p1n2/p4pB1/2pQ4/8/1P4PP/4RRK1 w - - 0 1,Re8,e1e8,850,f1f3,Rf3,False,False,,,,,
WAC.145,r1bq4/1p4kp/3p1n2/p4pB1/2pQ4/8/1P4PP/4RRK1 w - - 0 1,Re8,e1e8,2000,f1f3,Rf3,False,False,,,,,
WAC.157,5rk1/p4ppp/2p1b3/3Nq3/4P1n1/1p1B2QP/1PPr2P1/1K2R2R w - - 0 1,Ne7+,d5e7,100,g3e5,Qxe5,False,True,,,,,
WAC.157,5rk1/p4ppp/2p1b3/3Nq3/4P1n1/1p1B2QP/1PPr2P1/1K2R2R w - - 0 1,Ne7+,d5e7,850,g3e5,Qxe5,False,True,,,,,
WAC.157,5rk1/p4ppp/2p1b3/3Nq3/4P1n1/1p1B2QP/1PPr2P1/1K2R2R w - - 0 1,Ne7+,d5e7,2000,g3f4,Qf4,False,True,,,,,
WAC.161,3r3k/3r1P1p/pp1Nn3/2pp4/7Q/6R1/Pq4PP/5RK1 w - - 0 1,Qxd8+,h4d8,100,h4h6,Qh6,False,False,,,,,
WAC.161,3r3k/3r1P1p/pp1Nn3/2pp4/7Q/6R1/Pq4PP/5RK1 w - - 0 1,Qxd8+,h4d8,850,h4h6,Qh6,False,False,,,,,
WAC.161,3r3k/3r1P1p/pp1Nn3/2pp4/7Q/6R1/Pq4PP/5RK1 w - - 0 1,Qxd8+,h4d8,2000,h4h6,Qh6,False,False,,,,,
WAC.163,5rk1/2p4p/2p4r/3P4/4p1b1/1Q2NqPp/PP3P1K/R4R2 b - - 0 1,Qg2+,f3g2,100,c6d5,cxd5,False,False,,,,,
WAC.163,5rk1/2p4p/2p4r/3P4/4p1b1/1Q2NqPp/PP3P1K/R4R2 b - - 0 1,Qg2+,f3g2,850,c6d5,cxd5,False,False,,,,,
WAC.163,5rk1/2p4p/2p4r/3P4/4p1b1/1Q2NqPp/PP3P1K/R4R2 b - - 0 1,Qg2+,f3g2,2000,c6d5,cxd5,False,False,,,,,
WAC.167,7Q/ppp2q2/3p2k1/P2Ppr1N/1PP5/7R/5rP1/6K1 b - - 0 1,Rxg2+,f2g2,100,f2f1,Rf1+,False,False,,,,,
WAC.167,7Q/ppp2q2/3p2k1/P2Ppr1N/1PP5/7R/5rP1/6K1 b - - 0 1,Rxg2+,f2g2,850,f2f1,Rf1+,False,False,,,,,
WAC.167,7Q/ppp2q2/3p2k1/P2Ppr1N/1PP5/7R/5rP1/6K1 b - - 0 1,Rxg2+,f2g2,2000,f7f8,Qf8,False,False,,,,,
WAC.180,r1q2rk1/p3bppb/3p1n1p/2nPp3/1p2P1P1/6NP/PP2QPB1/R1BNK2R b KQ - 0 1,Nxd5,f6d5,100,c8b7,Qb7,False,False,,,,,
WAC.180,r1q2rk1/p3bppb/3p1n1p/2nPp3/1p2P1P1/6NP/PP2QPB1/R1BNK2R b KQ - 0 1,Nxd5,f6d5,850,c8b7,Qb7,False,True,,,,,
WAC.180,r1q2rk1/p3bppb/3p1n1p/2nPp3/1p2P1P1/6NP/PP2QPB1/R1BNK2R b KQ - 0 1,Nxd5,f6d5,2000,c8d8,Qd8,False,True,,,,,
WAC.183,1r2k1r1/5p2/b3p3/1p2b1B1/3p3P/3B4/PP2KP2/2R3R1 w - - 0 1,Bf6,g5f6,100,f2f4,f4,False,False,,,,,
WAC.183,1r2k1r1/5p2/b3p3/1p2b1B1/3p3P/3B4/PP2KP2/2R3R1 w - - 0 1,Bf6,g5f6,850,f2f4,f4,False,False,,,,,
WAC.183,1r2k1r1/5p2/b3p3/1p2b1B1/3p3P/3B4/PP2KP2/2R3R1 w - - 0 1,Bf6,g5f6,2000,f2f4,f4,False,False,,,,,
WAC.193,5bk1/p4ppp/Qp6/4B3/1P6/Pq2P1P1/2rr1P1P/R4RK1 b - - 0 1,Qxe3,b3e3,100,b3d5,Qd5,False,False,,,,,
WAC.193,5bk1/p4ppp/Qp6/4B3/1P6/Pq2P1P1/2rr1P1P/R4RK1 b - - 0 1,Qxe3,b3e3,850,b3d5,Qd5,False,False,,,,,
WAC.193,5bk1/p4ppp/Qp6/4B3/1P6/Pq2P1P1/2rr1P1P/R4RK1 b - - 0 1,Qxe3,b3e3,2000,b3d5,Qd5,False,True,,,,,
WAC.194,5rk1/ppq2ppp/2p5/4bN2/4P3/6Q1/PPP2PPP/3R2K1 w - - 0 1,Nh6+,f5h6,100,g3a3,Qa3,False,True,,,,,
WAC.194,5rk1/ppq2ppp/2p5/4bN2/4P3/6Q1/PPP2PPP/3R2K1 w - - 0 1,Nh6+,f5h6,850,g3a3,Qa3,False,True,,,,,
WAC.194,5rk1/ppq2ppp/2p5/4bN2/4P3/6Q1/PPP2PPP/3R2K1 w - - 0 1,Nh6+,f5h6,2000,f5h6,Nh6+,True,True,,,,,
WAC.200,2rqrn1k/pb4pp/1p2pp2/n2P4/2P3N1/P2B2Q1/1B3PPP/2R1R1K1 w - - 0 1,Bxf6,b2f6,100,d5d6,d6,False,False,,,,,
WAC.200,2rqrn1k/pb4pp/1p2pp2/n2P4/2P3N1/P2B2Q1/1B3PPP/2R1R1K1 w - - 0 1,Bxf6,b2f6,850,d5d6,d6,False,False,,,,,
WAC.200,2rqrn1k/pb4pp/1p2pp2/n2P4/2P3N1/P2B2Q1/1B3PPP/2R1R1K1 w - - 0 1,Bxf6,b2f6,2000,b2f6,Bxf6,True,True,,,,,
WAC.204,r1b1qrk1/1p3ppp/p1p5/3Nb3/5N2/P7/1P4PQ/K1R1R3 w - - 0 1,Rxe5,e1e5,100,h2h5,Qh5,False,False,,,,,
WAC.204,r1b1qrk1/1p3ppp/p1p5/3Nb3/5N2/P7/1P4PQ/K1R1R3 w - - 0 1,Rxe5,e1e5,850,h2h5,Qh5,False,True,,,,,
WAC.204,r1b1qrk1/1p3ppp/p1p5/3Nb3/5N2/P7/1P4PQ/K1R1R3 w - - 0 1,Rxe5,e1e5,2000,e1e5,Rxe5,True,True,,,,,
WAC.207,r1bq2kr/p1pp1ppp/1pn1p3/4P3/2Pb2Q1/BR6/P4PPP/3K1BNR w - - 0 1,Qxg7+,g4g7,100,f2f4,f4,False,False,,,,,
WAC.207,r1bq2kr/p1pp1ppp/1pn1p3/4P3/2Pb2Q1/BR6/P4PPP/3K1BNR w - - 0 1,Qxg7+,g4g7,850,f2f4,f4,False,False,,,,,
WAC.207,r1bq2kr/p1pp1ppp/1pn1p3/4P3/2Pb2Q1/BR6/P4PPP/3K1BNR w - - 0 1,Qxg7+,g4g7,2000,g1f3,Nf3,False,False,,,,,
WAC.209,4kb1r/2q2p2/r2p4/pppBn1B1/P6P/6Q1/1PP5/2KRR3 w k - 0 1,Rxe5+,e1e5,100,a4b5,axb5,False,False,,,,,
WAC.209,4kb1r/2q2p2/r2p4/pppBn1B1/P6P/6Q1/1PP5/2KRR3 w k - 0 1,Rxe5+,e1e5,850,g3b3,Qb3,False,False,,,,,
WAC.209,4kb1r/2q2p2/r2p4/pppBn1B1/P6P/6Q1/1PP5/2KRR3 w k - 0 1,Rxe5+,e1e5,2000,e1e5,Rxe5+,True,True,,,,,
WAC.212,rn1qr2Q/pbppk1p1/1p2pb2/4N3/3P4/2N5/PPP3PP/R4RK1 w - - 0 1,Qxg7+,h8g7,100,h8h5,Qh5,False,False,,,,,
WAC.212,rn1qr2Q/pbppk1p1/1p2pb2/4N3/3P4/2N5/PPP3PP/R4RK1 w - - 0 1,Qxg7+,h8g7,850,h8h5,Qh5,False,False,,,,,
WAC.212,rn1qr2Q/pbppk1p1/1p2pb2/4N3/3P4/2N5/PPP3PP/R4RK1 w - - 0 1,Qxg7+,h8g7,2000,h8h5,Qh5,False,True,,,,,
WAC.213,3r1r1k/1b4pp/ppn1p3/4Pp1R/Pn5P/3P4/4QP2/1qB1NKR1 w - - 0 1,Rxh7+,h5h7,100,e2b2,Qb2,False,False,,,,,
WAC.213,3r1r1k/1b4pp/ppn1p3/4Pp1R/Pn5P/3P4/4QP2/1qB1NKR1 w - - 0 1,Rxh7+,h5h7,850,e2b2,Qb2,False,False,,,,,
WAC.213,3r1r1k/1b4pp/ppn1p3/4Pp1R/Pn5P/3P4/4QP2/1qB1NKR1 w - - 0 1,Rxh7+,h5h7,2000,e2b2,Qb2,False,False,,,,,
WAC.217,r3kb1r/1pp3p1/p3bp1p/5q2/3QN3/1P6/PBP3P1/3RR1K1 w kq - 0 1,Qd7+,d4d7,100,e4g3,Ng3,False,False,,,,,
WAC.217,r3kb1r/1pp3p1/p3bp1p/5q2/3QN3/1P6/PBP3P1/3RR1K1 w kq - 0 1,Qd7+,d4d7,850,e4g3,Ng3,False,False,,,,,
WAC.217,r3kb1r/1pp3p1/p3bp1p/5q2/3QN3/1P6/PBP3P1/3RR1K1 w kq - 0 1,Qd7+,d4d7,2000,e4g3,Ng3,False,False,,,,,
WAC.220,3rr1k1/ppp2ppp/8/5Q2/4n3/1B5R/PPP1qPP1/5RK1 b - - 0 1,Qxf1+,e2f1,100,e4f6,Nf6,False,False,,,,,
WAC.220,3rr1k1/ppp2ppp/8/5Q2/4n3/1B5R/PPP1qPP1/5RK1 b - - 0 1,Qxf1+,e2f1,850,e4f6,Nf6,False,False,,,,,
WAC.220,3rr1k1/ppp2ppp/8/5Q2/4n3/1B5R/PPP1qPP1/5RK1 b - - 0 1,Qxf1+,e2f1,2000,e4f6,Nf6,False,False,,,,,
WAC.222,2r1r2k/1q3ppp/p2Rp3/2p1P3/6QB/p3P3/bP3PPP/3R2K1 w - - 0 1,Bf6,h4f6,100,b2a3,bxa3,False,False,,,,,
WAC.222,2r1r2k/1q3ppp/p2Rp3/2p1P3/6QB/p3P3/bP3PPP/3R2K1 w - - 0 1,Bf6,h4f6,850,b2a3,bxa3,False,False,,,,,
WAC.222,2r1r2k/1q3ppp/p2Rp3/2p1P3/6QB/p3P3/bP3PPP/3R2K1 w - - 0 1,Bf6,h4f6,2000,h4f6,Bf6,True,True,,,,,
WAC.223,r1bqk2r/pp3ppp/5n2/8/1b1npB2/2N5/PP1Q2PP/1K2RBNR w kq - 0 1,Nxe4,c3e4,100,f4e5,Be5,False,True,,,,,
WAC.223,r1bqk2r/pp3ppp/5n2/8/1b1npB2/2N5/PP1Q2PP/1K2RBNR w kq - 0 1,Nxe4,c3e4,850,f4e5,Be5,False,True,,,,,
WAC.223,r1bqk2r/pp3ppp/5n2/8/1b1npB2/2N5/PP1Q2PP/1K2RBNR w kq - 0 1,Nxe4,c3e4,2000,c3e4,Nxe4,True,True,,,,,
WAC.225,4R3/4q1kp/6p1/1Q3b2/1P1b1P2/6KP/8/8 b - - 0 1,Qh4+,e7h4,100,e7c7,Qc7,False,False,,,,,
WAC.225,4R3/4q1kp/6p1/1Q3b2/1P1b1P2/6KP/8/8 b - - 0 1,Qh4+,e7h4,850,e7c7,Qc7,False,False,,,,,
WAC.225,4R3/4q1kp/6p1/1Q3b2/1P1b1P2/6KP/8/8 b - - 0 1,Qh4+,e7h4,2000,e7c7,Qc7,False,False,,,,,
WAC.228,r4rk1/1bq1bp1p/4p1p1/p2p4/3BnP2/1N1B3R/PPP3PP/R2Q2K1 w - - 0 1,Bxe4,d3e4,100,g2g3,g3,False,True,,,,,
WAC.228,r4rk1/1bq1bp1p/4p1p1/p2p4/3BnP2/1N1B3R/PPP3PP/R2Q2K1 w - - 0 1,Bxe4,d3e4,850,d4e3,Be3,False,True,,,,,
WAC.228,r4rk1/1bq1bp1p/4p1p1/p2p4/3BnP2/1N1B3R/PPP3PP/R2Q2K1 w - - 0 1,Bxe4,d3e4,2000,d4e5,Be5,False,True,,,,,
WAC.230,2b5/1r6/2kBp1p1/p2pP1P1/2pP4/1pP3K1/1R3P2/8 b - - 0 1,Rb4,b7b4,100,b7f7,Rf7,False,False,,,,,
WAC.230,2b5/1r6/2kBp1p1/p2pP1P1/2pP4/1pP3K1/1R3P2/8 b - - 0 1,Rb4,b7b4,850,b7h7,Rh7,False,False,,,,,
WAC.230,2b5/1r6/2kBp1p1/p2pP1P1/2pP4/1pP3K1/1R3P2/8 b - - 0 1,Rb4,b7b4,2000,b7h7,Rh7,False,False,,,,,
WAC.237,r5k1/pQp2qpp/8/4pbN1/3P4/6P1/PPr4P/1K1R3R b - - 0 1,Rc1+,c2c1,100,c2c5,Rc5+,False,False,,,,,
WAC.237,r5k1/pQp2qpp/8/4pbN1/3P4/6P1/PPr4P/1K1R3R b - - 0 1,Rc1+,c2c1,850,c2c5,Rc5+,False,False,,,,,
WAC.237,r5k1/pQp2qpp/8/4pbN1/3P4/6P1/PPr4P/1K1R3R b - - 0 1,Rc1+,c2c1,2000,c2c5,Rc5+,False,False,,,,,
WAC.238,1k1r4/pp1r1pp1/4n1p1/2R5/2Pp1qP1/3P2QP/P4PB1/1R4K1 w - - 0 1,Bxb7,g2b7,100,c5d5,Rd5,False,False,,,,,
WAC.238,1k1r4/pp1r1pp1/4n1p1/2R5/2Pp1qP1/3P2QP/P4PB1/1R4K1 w - - 0 1,Bxb7,g2b7,850,c5b5,Rcb5,False,False,,,,,
WAC.238,1k1r4/pp1r1pp1/4n1p1/2R5/2Pp1qP1/3P2QP/P4PB1/1R4K1 w - - 0 1,Bxb7,g2b7,2000,c5b5,Rcb5,False,True,,,,,
WAC.241,2rq1rk1/pp3ppp/2n2b2/4NR2/3P4/PB5Q/1P4PP/3R2K1 w - - 0 1,Qxh7+,h3h7,100,f5f6,Rxf6,False,False,,,,,
WAC.241,2rq1rk1/pp3ppp/2n2b2/4NR2/3P4/PB5Q/1P4PP/3R2K1 w - - 0 1,Qxh7+,h3h7,850,f5f6,Rxf6,False,False,,,,,
WAC.241,2rq1rk1/pp3ppp/2n2b2/4NR2/3P4/PB5Q/1P4PP/3R2K1 w - - 0 1,Qxh7+,h3h7,2000,f5f6,Rxf6,False,False,,,,,
WAC.244,r6r/pp3ppp/3k1b2/2pb4/B4Pq1/2P1Q3/P5PP/1RBR2K1 w - - 0 1,Qxc5+,e3c5,100,d1d5,Rxd5+,False,False,,,,,
WAC.244,r6r/pp3ppp/3k1b2/2pb4/B4Pq1/2P1Q3/P5PP/1RBR2K1 w - - 0 1,Qxc5+,e3c5,850,d1d5,Rxd5+,False,False,,,,,
WAC.244,r6r/pp3ppp/3k1b2/2pb4/B4Pq1/2P1Q3/P5PP/1RBR2K1 w - - 0 1,Qxc5+,e3c5,2000,d1d5,Rxd5+,False,True,,,,,
WAC.245,4rrn1/ppq3bk/3pPnpp/2p5/2PB4/2NQ1RPB/PP5P/5R1K w - - 0 1,Qxg6+,d3g6,100,c3b5,Nb5,False,False,,,,,
WAC.245,4rrn1/ppq3bk/3pPnpp/2p5/2PB4/2NQ1RPB/PP5P/5R1K w - - 0 1,Qxg6+,d3g6,850,c3d5,Nd5,False,False,,,,,
WAC.245,4rrn1/ppq3bk/3pPnpp/2p5/2PB4/2NQ1RPB/PP5P/5R1K w - - 0 1,Qxg6+,d3g6,2000,c3b5,Nb5,False,False,,,,,
WAC.247,2k1r3/1p2Bq2/p2Qp3/Pb1p1p1P/2pP1P2/2P5/2P2KP1/1R6 w - - 0 1,Rxb5,b1b5,100,d6c5,Qc5+,False,False,,,,,
WAC.247,2k1r3/1p2Bq2/p2Qp3/Pb1p1p1P/2pP1P2/2P5/2P2KP1/1R6 w - - 0 1,Rxb5,b1b5,850,d6c5,Qc5+,False,False,,,,,
WAC.247,2k1r3/1p2Bq2/p2Qp3/Pb1p1p1P/2pP1P2/2P5/2P2KP1/1R6 w - - 0 1,Rxb5,b1b5,2000,d6c5,Qc5+,False,False,,,,,
WAC.250,1b5k/7P/p1p2np1/2P2p2/PP3P2/4RQ1R/q2r3P/6K1 w - - 0 1,Re8+,e3e8,100,e3e1,Re1,False,False,,,,,
WAC.250,1b5k/7P/p1p2np1/2P2p2/PP3P2/4RQ1R/q2r3P/6K1 w - - 0 1,Re8+,e3e8,850,e3e1,Re1,False,False,,,,,
WAC.250,1b5k/7P/p1p2np1/2P2p2/PP3P2/4RQ1R/q2r3P/6K1 w - - 0 1,Re8+,e3e8,2000,e3e1,Re1,False,False,,,,,
WAC.256,3r1rk1/1pb1qp1p/2p3p1/p7/P2Np2R/1P5P/1BP2PP1/3Q1BK1 w - - 0 1,Nf5,d4f5,100,g2g3,g3,False,False,,,,,
WAC.256,3r1rk1/1pb1qp1p/2p3p1/p7/P2Np2R/1P5P/1BP2PP1/3Q1BK1 w - - 0 1,Nf5,d4f5,850,g2g3,g3,False,False,,,,,
WAC.256,3r1rk1/1pb1qp1p/2p3p1/p7/P2Np2R/1P5P/1BP2PP1/3Q1BK1 w - - 0 1,Nf5,d4f5,2000,g2g3,g3,False,True,,,,,
WAC.261,r5k1/1bp3pp/p2p4/1p6/5p2/1PBP1nqP/1PP3Q1/R4R1K b - - 0 1,Nd4,f3d4,100,g3g2,Qxg2+,False,False,,,,,
WAC.261,r5k1/1bp3pp/p2p4/1p6/5p2/1PBP1nqP/1PP3Q1/R4R1K b - - 0 1,Nd4,f3d4,850,g3g2,Qxg2+,False,False,,,,,
WAC.261,r5k1/1bp3pp/p2p4/1p6/5p2/1PBP1nqP/1PP3Q1/R4R1K b - - 0 1,Nd4,f3d4,2000,g3g2,Qxg2+,False,False,,,,,
WAC.263,rnbqr2k/pppp1Qpp/8/b2NN3/2B1n3/8/PPPP1PPP/R1B1K2R w KQ - 0 1,Qg8+,f7g8,100,f7f4,Qf4,False,False,,,,,
WAC.263,rnbqr2k/pppp1Qpp/8/b2NN3/2B1n3/8/PPPP1PPP/R1B1K2R w KQ - 0 1,Qg8+,f7g8,850,f7h5,Qh5,False,False,,,,,
WAC.263,rnbqr2k/pppp1Qpp/8/b2NN3/2B1n3/8/PPPP1PPP/R1B1K2R w KQ - 0 1,Qg8+,f7g8,2000,f7h5,Qh5,False,True,,,,,
WAC.266,r3q2r/2p1k1p1/p5p1/1p2Nb2/1P2nB2/P7/2PNQbPP/R2R3K b - - 0 1,Rxh2+,h8h2,100,f2g3,Bg3,False,False,,,,,
WAC.266,r3q2r/2p1k1p1/p5p1/1p2Nb2/1P2nB2/P7/2PNQbPP/R2R3K b - - 0 1,Rxh2+,h8h2,850,f2g3,Bg3,False,False,,,,,
WAC.266,r3q2r/2p1k1p1/p5p1/1p2Nb2/1P2nB2/P7/2PNQbPP/R2R3K b - - 0 1,Rxh2+,h8h2,2000,f2g3,Bg3,False,False,,,,,
WAC.269,2kr2nr/pp1n1ppp/2p1p3/q7/1b1P1B2/P1N2Q1P/1PP1BPP1/R3K2R w KQ - 0 1,axb4,a3b4,100,f4d2,Bd2,False,False,,,,,
WAC.269,2kr2nr/pp1n1ppp/2p1p3/q7/1b1P1B2/P1N2Q1P/1PP1BPP1/R3K2R w KQ - 0 1,axb4,a3b4,850,f4d2,Bd2,False,False,,,,,
WAC.269,2kr2nr/pp1n1ppp/2p1p3/q7/1b1P1B2/P1N2Q1P/1PP1BPP1/R3K2R w KQ - 0 1,axb4,a3b4,2000,a3b4,axb4,True,True,,,,,
WAC.281,2R5/2R4p/5p1k/6n1/8/1P2QPPq/r7/6K1 w - - 0 1,Rxh7+,c7h7,100,c7c2,Rc2,False,False,,,,,
WAC.281,2R5/2R4p/5p1k/6n1/8/1P2QPPq/r7/6K1 w - - 0 1,Rxh7+,c7h7,850,c7c2,Rc2,False,False,,,,,
WAC.281,2R5/2R4p/5p1k/6n1/8/1P2QPPq/r7/6K1 w - - 0 1,Rxh7+,c7h7,2000,c7c2,Rc2,False,False,,,,,
WAC.282,6k1/2p3p1/1p1p1nN1/1B1P4/4PK2/8/2r3b1/7R w - - 0 1,Rh8+,h1h8,100,h1e1,Re1,False,True,,,,,
WAC.282,6k1/2p3p1/1p1p1nN1/1B1P4/4PK2/8/2r3b1/7R w - - 0 1,Rh8+,h1h8,850,h1e1,Re1,False,True,,,,,
